                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64718,                 1.7383,                0.09268,                0.42094,                0.97952,                0.89463,                0.91298,                0.94353,                0.60162,                0.83579,                0.85293,                  0.819,                0.39919,                 1.2772,                 2.4553,                 0.1059,                0.64806,                 1.4208,                0.00056,                0.00056,                0.00056
                      2,                0.70714,                 1.9171,                 0.0967,                0.45372,                 1.0092,                0.89108,                0.89924,                0.94028,                0.55073,                0.83262,                0.80356,                0.78966,                0.33678,                   1.41,                 2.7282,                0.10938,                0.70841,                 1.4954,              0.0011356,              0.0011356,              0.0011356
                      3,                0.79406,                 2.0522,                0.09334,                0.50195,                  1.046,                0.88004,                0.88346,                0.93591,                0.57051,                0.79295,                0.78372,                0.78408,                0.30932,                 1.3559,                 2.9397,                0.10669,                0.75372,                 1.5408,              0.0016933,              0.0016933,              0.0016933
                      4,                0.85974,                 2.1897,                0.09704,                0.53642,                 1.0794,                0.89703,                0.88227,                0.93806,                0.57652,                0.76415,                0.75188,                0.69638,                0.24067,                 1.3238,                 3.1528,                0.10584,                0.76645,                 1.4876,              0.0019305,              0.0019305,              0.0019305
                      5,                0.84528,                   2.22,                0.09329,                0.53108,                 1.0748,                0.88959,                0.88092,                0.94174,                0.57612,                0.78211,                0.75165,                0.73627,                0.26625,                 1.3435,                 3.1265,                0.10703,                0.78453,                 1.5177,              0.0019305,              0.0019305,              0.0019305
                      6,                0.83711,                 2.1732,                0.09224,                0.52235,                 1.0767,                 0.8993,                0.88448,                0.94364,                0.57617,                0.80488,                0.78015,                0.76851,                 0.3165,                 1.3375,                 2.8016,                0.10583,                0.73643,                 1.4825,              0.0018775,              0.0018775,              0.0018775
                      7,                0.82352,                 2.1087,                0.09206,                0.50618,                 1.0629,                0.90779,                0.88178,                0.94703,                0.58362,                0.81523,                0.78728,                0.78679,                0.32698,                 1.3589,                 2.8071,                0.10749,                0.73455,                 1.4903,              0.0018109,              0.0018109,              0.0018109
                      8,                0.79462,                 2.0416,                0.08825,                0.49101,                 1.0491,                0.87584,                0.89385,                0.93795,                0.54533,                0.79457,                0.80254,                 0.7828,                 0.3206,                 1.4185,                 2.7606,                0.10758,                0.75261,                 1.5415,              0.0017317,              0.0017317,              0.0017317
                      9,                 0.7816,                 2.0276,                0.09112,                 0.4879,                  1.043,                0.88075,                0.90636,                0.94384,                 0.5924,                0.82261,                 0.8112,                0.80861,                0.36375,                 1.3351,                 2.6404,                0.10953,                 0.7072,                 1.4813,               0.001641,               0.001641,               0.001641
                     10,                0.74727,                 1.9854,                0.08929,                0.47076,                 1.0234,                0.91482,                0.86514,                0.94491,                0.59027,                0.84031,                0.78066,                0.80391,                 0.3606,                 1.3018,                 2.6343,                0.10749,                0.70005,                 1.4841,              0.0015405,              0.0015405,              0.0015405
                     11,                 0.7145,                 1.9045,                0.08631,                0.44944,                 1.0031,                0.90293,                0.89466,                 0.9467,                0.59641,                0.83569,                0.83602,                0.83179,                0.36282,                 1.2908,                 2.6832,                0.10511,                0.66712,                 1.4698,              0.0014315,              0.0014315,              0.0014315
                     12,                0.69107,                 1.8433,                0.08712,                0.43338,                 0.9861,                0.89108,                0.89928,                0.93617,                 0.5773,                0.83374,                 0.8402,                0.82926,                0.38981,                 1.3475,                 2.5326,                0.10727,                0.71123,                 1.4841,              0.0013159,              0.0013159,              0.0013159
                     13,                0.65576,                 1.7714,                0.08424,                0.42499,                0.97281,                0.89908,                 0.8916,                0.94532,                0.59971,                0.83776,                0.83053,                 0.8377,                0.40921,                 1.2873,                 2.4631,                0.10221,                 0.6557,                 1.4398,              0.0011955,              0.0011955,              0.0011955
                     14,                0.63757,                 1.7336,                0.08513,                0.40772,                0.96293,                0.90005,                0.87837,                0.93975,                0.59419,                0.85104,                0.79084,                0.81133,                 0.3885,                 1.2943,                 2.5024,                0.10504,                0.67237,                 1.4554,              0.0010722,              0.0010722,              0.0010722
                     15,                0.60328,                 1.6482,                0.08615,                0.39074,                0.94815,                0.90093,                0.89785,                0.94948,                0.60275,                0.83661,                0.83385,                0.83604,                0.40115,                 1.2717,                 2.5184,                 0.1024,                0.65398,                 1.4618,             0.00094784,             0.00094784,             0.00094784
                     16,                 0.5794,                 1.6157,                0.08168,                0.37922,                0.93415,                 0.9121,                0.87134,                0.94872,                0.59591,                 0.8518,                0.81221,                 0.8426,                0.41044,                 1.3068,                 2.4726,                  0.103,                0.67427,                 1.4733,             0.00082449,             0.00082449,             0.00082449
                     17,                0.54365,                 1.5608,                0.08172,                0.36398,                0.91841,                 0.9109,                 0.8799,                0.94654,                0.60634,                 0.8543,                 0.8176,                0.84689,                0.42587,                 1.2691,                 2.4244,                0.10299,                0.65612,                 1.4641,             0.00070407,             0.00070407,             0.00070407
                     18,                0.52063,                 1.5285,                0.08379,                0.35742,                0.90598,                 0.9086,                0.88651,                0.94958,                0.59971,                0.85123,                0.83053,                0.84239,                0.41213,                 1.3032,                 2.4259,                0.10482,                 0.6574,                 1.4788,             0.00058848,             0.00058848,             0.00058848
                     19,                0.50066,                 1.4785,                0.08089,                0.34561,                0.89677,                0.91144,                0.87988,                0.94726,                0.59627,                0.87333,                0.81401,                0.84821,                0.42611,                 1.3137,                 2.3946,                 0.1025,                0.66138,                 1.4891,             0.00047953,             0.00047953,             0.00047953
                     20,                 0.4827,                 1.4335,                0.07868,                0.33308,                0.89164,                0.91271,                0.88092,                0.94747,                0.59606,                0.85757,                0.82545,                0.84487,                0.42846,                 1.3083,                 2.3851,                 0.1018,                 0.6622,                  1.496,             0.00037895,             0.00037895,             0.00037895
                     21,                0.46565,                 1.4197,                 0.0775,                0.33008,                 0.8858,                0.92449,                0.87277,                0.94799,                0.60404,                0.88037,                0.82017,                0.85478,                0.43582,                 1.2942,                   2.35,                0.10198,                0.66049,                 1.4911,             0.00028832,             0.00028832,             0.00028832
                     22,                0.43705,                 1.3732,                0.07803,                0.31864,                  0.876,                0.91203,                0.88397,                0.94927,                0.60327,                0.85695,                 0.8341,                0.85481,                0.44575,                 1.3002,                 2.3293,                0.10165,                0.66179,                 1.5036,             0.00020907,             0.00020907,             0.00020907
                     23,                0.42296,                 1.3454,                0.07686,                0.30788,                0.87242,                0.90131,                0.88772,                0.94804,                0.59868,                0.85724,                0.82494,                0.84785,                0.44029,                 1.3068,                 2.3274,                0.10196,                0.66443,                 1.5147,             0.00014246,             0.00014246,             0.00014246
                     24,                0.41301,                 1.3367,                0.07774,                0.30563,                0.86521,                0.90305,                0.89008,                0.94719,                0.60627,                0.87184,                0.82646,                0.85567,                0.44552,                 1.2846,                 2.3209,                 0.1018,                0.65918,                 1.4971,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     25,                0.40544,                 1.3312,                0.07678,                0.30061,                0.86452,                0.90037,                0.89822,                0.94729,                0.60343,                 0.8694,                 0.8334,                0.85829,                0.44521,                 1.2948,                 2.3162,                0.10151,                0.66464,                 1.5027,             5.1103e-05,             5.1103e-05,             5.1103e-05
